id,nodeId,timestamp,soilMoisture,temperature,humidity,reservoirLevel,ph,nitrogen,phosphorus,potassium,soilMoisture_class,temperature_class,humidity_class,reservoirLevel_class,nitrogen_class,phosphorus_class,potassium_class
cmnyxjq0p000azhesy9beubva,cmmx6howt0000bi1zgfsisou2,2024-04-11 07:45:37.080,63.45,23.49,87.45,32.78,7.0,13.6,20.7,40.9,optimal,optimal,criticalHigh,optimal,low,optimal,optimal
cmnyxjq0p000bzhesicp7pmpf,cmmx6howt0000bi1zgfsisou2,2024-04-11 07:56:10.788,65.98,23.55,86.51,37.21,7.0,13.0,22.3,44.0,optimal,optimal,criticalHigh,optimal,low,optimal,optimal
cmnyxjq0p000czhess831efx0,cmmx6howt0000bi1zgfsisou2,2024-04-11 08:06:44.496,68.69,23.54,85.41,33.02,7.0,14.6,22.6,43.3,optimal,optimal,criticalHigh,optimal,optimal,optimal,optimal
cmnyxjq0p000dzhes75e3nnc1,cmmx6howt0000bi1zgfsisou2,2024-04-11 08:17:18.204,69.94,23.68,85.78,40.54,7.0,12.6,21.3,43.0,optimal,optimal,criticalHigh,optimal,low,optimal,optimal
cmnyxjq0p000ezhesb0ix7nk7,cmmx6howt0000bi1zgfsisou2,2024-04-11 08:27:51.912,74.05,23.71,85.7,42.24,7.0,14.1,19.8,44.9,high,optimal,criticalHigh,optimal,optimal,optimal,optimal
cmnyxjq0p000fzhesluilo89i,cmmx6howt0000bi1zgfsisou2,2024-04-11 08:38:25.620,76.52,23.72,85.43,44.47,7.0,14.7,20.9,39.4,high,optimal,criticalHigh,optimal,optimal,optimal,optimal
cmnyxjq0p000gzhesconnorjm,cmmx6howt0000bi1zgfsisou2,2024-04-11 08:48:59.328,80.35,23.92,84.67,44.86,7.0,14.5,21.6,39.8,high,optimal,high,optimal,optimal,optimal,optimal
cmnyxjq0p000hzhesquag1it1,cmmx6howt0000bi1zgfsisou2,2024-04-11 08:59:33.036,82.48,24.01,84.51,50.94,7.0,12.4,21.6,39.9,high,optimal,high,optimal,low,optimal,optimal
cmnyxjq0p000izhesxzvzi8iy,cmmx6howt0000bi1zgfsisou2,2024-04-11 09:10:06.744,85.03,23.91,84.51,49.37,7.0,13.4,21.5,41.3,criticalHigh,optimal,high,optimal,low,optimal,optimal
cmnyxjq0p000jzhesy8r0tk30,cmmx6howt0000bi1zgfsisou2,2024-04-11 09:20:40.452,88.25,24.2,84.35,53.13,7.0,13.4,22.7,40.3,criticalHigh,optimal,high,optimal,low,optimal,optimal
cmnyxjq0p000kzhesyw39qfy1,cmmx6howt0000bi1zgfsisou2,2024-04-11 09:31:14.160,90.09,24.2,84.19,57.1,7.0,13.7,20.5,40.2,criticalHigh,optimal,high,optimal,low,optimal,optimal
cmnyxjq0p000lzhesaluulyq0,cmmx6howt0000bi1zgfsisou2,2024-04-11 09:41:47.868,90.67,24.35,83.47,60.83,7.0,12.3,21.8,41.8,criticalHigh,optimal,high,optimal,low,optimal,optimal
cmnyxjq0p000mzhesagcbmhnr,cmmx6howt0000bi1zgfsisou2,2024-04-11 09:52:21.576,90.96,24.28,82.82,58.55,7.0,12.4,22.8,42.1,criticalHigh,optimal,high,optimal,low,optimal,optimal
cmnyxjq0p000nzhesmac1tqnn,cmmx6howt0000bi1zgfsisou2,2024-04-11 10:02:55.284,89.01,24.45,84.3,64.86,7.0,11.6,20.8,42.3,criticalHigh,optimal,high,optimal,low,optimal,optimal
cmnyxjq0p000ozhesysw3aern,cmmx6howt0000bi1zgfsisou2,2024-04-11 10:13:28.992,88.93,24.64,83.7,56.17,7.0,11.9,20.7,38.9,criticalHigh,optimal,high,optimal,low,optimal,low
cmnyxjq0p000pzhesuu5yqcv2,cmmx6howt0000bi1zgfsisou2,2024-04-11 10:24:02.700,87.8,24.71,83.2,74.89,7.0,13.6,21.8,41.7,criticalHigh,optimal,high,optimal,low,optimal,optimal
cmnyxjq0p000qzhesug4g7ej0,cmmx6howt0000bi1zgfsisou2,2024-04-11 10:34:36.408,85.41,24.79,81.42,72.87,7.0,11.3,19.2,39.5,criticalHigh,optimal,high,optimal,low,optimal,optimal
cmnyxjq0p000rzhes8ys3bl07,cmmx6howt0000bi1zgfsisou2,2024-04-11 10:45:10.116,86.63,24.9,82.44,62.2,7.0,11.8,19.1,42.3,criticalHigh,optimal,high,optimal,low,optimal,optimal
cmnyxjq0p000szhesvc59rumh,cmmx6howt0000bi1zgfsisou2,2024-04-11 10:55:43.824,84.43,24.95,80.97,72.75,7.0,11.5,20.0,38.0,high,optimal,high,optimal,low,optimal,low
cmnyxjq0p000tzhes0t7hlpx1,cmmx6howt0000bi1zgfsisou2,2024-04-11 11:06:17.532,83.85,25.25,82.06,74.56,7.0,13.0,20.5,42.0,high,optimal,high,optimal,low,optimal,optimal
cmnyxjq0p000uzhes2aez0hr8,cmmx6howt0000bi1zgfsisou2,2024-04-11 11:16:51.240,83.88,25.31,81.63,81.29,7.0,10.6,22.5,41.3,high,optimal,high,high,low,optimal,optimal
cmnyxjq0p000vzhesy464g99z,cmmx6howt0000bi1zgfsisou2,2024-04-11 11:27:24.948,81.46,25.34,81.18,70.47,7.0,10.5,21.0,41.1,high,optimal,high,optimal,low,optimal,optimal
cmnyxjq0p000wzhesru44ni7r,cmmx6howt0000bi1zgfsisou2,2024-04-11 11:37:58.656,81.63,25.5,80.71,88.7,7.0,11.3,21.1,41.2,high,optimal,high,high,low,optimal,optimal
cmnyxjq0p000xzhesus0p1nb6,cmmx6howt0000bi1zgfsisou2,2024-04-11 11:48:32.364,79.19,25.63,80.51,80.1,7.0,11.8,21.8,37.8,high,optimal,high,high,low,optimal,low
cmnyxjq0p000yzhesywiuiq91,cmmx6howt0000bi1zgfsisou2,2024-04-11 11:59:06.072,80.08,25.57,79.5,73.52,7.0,11.7,21.8,41.8,high,optimal,high,optimal,low,optimal,optimal
cmnyxjq0p000zzhes5x953kj4,cmmx6howt0000bi1zgfsisou2,2024-04-11 12:09:39.780,77.75,25.97,80.01,81.41,7.0,13.2,21.2,42.5,high,optimal,high,high,low,optimal,optimal
cmnyxjq0p0010zheseyyc7ar4,cmmx6howt0000bi1zgfsisou2,2024-04-11 12:20:13.488,76.25,26.01,79.45,82.28,7.0,12.0,19.6,42.6,high,optimal,high,high,low,optimal,optimal
cmnyxjq0p0011zhes6ng3vzhq,cmmx6howt0000bi1zgfsisou2,2024-04-11 12:30:47.196,76.75,25.93,78.9,75.23,7.0,12.6,19.0,38.8,high,optimal,high,high,low,optimal,low
cmnyxjq0p0012zhesswbbeqiv,cmmx6howt0000bi1zgfsisou2,2024-04-11 12:41:20.904,74.28,26.22,78.66,85.36,7.0,12.9,19.8,37.8,high,optimal,high,high,low,optimal,low
cmnyxjq0p0013zhesg027rp6g,cmmx6howt0000bi1zgfsisou2,2024-04-11 12:51:54.612,75.17,26.39,77.69,82.28,7.0,12.5,22.9,40.1,high,optimal,high,high,low,optimal,optimal
cmnyxjq0p0014zhesq5yb5thz,cmmx6howt0000bi1zgfsisou2,2024-04-11 13:02:28.320,74.9,26.43,77.21,86.81,7.0,12.0,21.8,42.9,high,optimal,high,high,low,optimal,optimal
cmnyxjq0p0015zhesn3vod43r,cmmx6howt0000bi1zgfsisou2,2024-04-11 13:13:02.028,73.0,26.66,76.51,68.65,7.0,13.6,19.6,38.3,high,optimal,high,optimal,low,optimal,low
cmnyxjq0p0016zhes1s533j8t,cmmx6howt0000bi1zgfsisou2,2024-04-11 13:23:35.736,70.73,26.72,75.93,80.9,7.0,13.0,21.6,40.5,high,optimal,high,high,low,optimal,optimal
cmnyxjq0p0017zhesuwrj8xbr,cmmx6howt0000bi1zgfsisou2,2024-04-11 13:34:09.444,71.91,26.58,77.1,71.92,7.0,13.2,19.8,42.9,high,optimal,high,optimal,low,optimal,optimal
cmnyxjq0p0018zhesgboekvdh,cmmx6howt0000bi1zgfsisou2,2024-04-11 13:44:43.152,69.95,26.7,76.77,75.17,7.0,12.8,22.3,38.9,optimal,optimal,high,high,low,optimal,low
cmnyxjq0p0019zhesruz9l4m3,cmmx6howt0000bi1zgfsisou2,2024-04-11 13:55:16.860,69.11,26.97,74.8,72.22,7.0,14.1,22.6,42.9,optimal,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0p001azhestco7cblr,cmmx6howt0000bi1zgfsisou2,2024-04-11 14:05:50.568,67.52,27.13,75.36,67.08,7.0,14.8,20.7,42.3,optimal,optimal,high,optimal,optimal,optimal,optimal
cmnyxjq0p001bzhes5e21b8u1,cmmx6howt0000bi1zgfsisou2,2024-04-11 14:16:24.276,68.17,27.09,75.19,67.07,7.0,13.3,22.0,45.2,optimal,optimal,high,optimal,low,optimal,optimal
cmnyxjq0p001czheswo9wsj4h,cmmx6howt0000bi1zgfsisou2,2024-04-11 14:26:57.984,65.91,27.23,73.9,64.49,7.0,15.8,21.1,42.0,optimal,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0p001dzhesryh7t37a,cmmx6howt0000bi1zgfsisou2,2024-04-11 14:37:31.692,65.22,27.21,73.54,64.83,7.0,14.0,22.5,42.8,optimal,optimal,optimal,optimal,low,optimal,optimal
cmnyxjq0p001ezhesiks1j87k,cmmx6howt0000bi1zgfsisou2,2024-04-11 14:48:05.400,64.35,27.31,73.12,71.42,7.0,15.0,21.1,43.2,optimal,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0p001fzhes7jg5ot8s,cmmx6howt0000bi1zgfsisou2,2024-04-11 14:58:39.108,62.3,27.35,74.49,70.09,7.0,15.3,21.3,46.5,optimal,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0p001gzhesqhuvk12m,cmmx6howt0000bi1zgfsisou2,2024-04-11 15:09:12.816,62.16,27.49,73.92,66.63,7.0,16.1,23.5,46.8,optimal,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0p001hzhes358pt1in,cmmx6howt0000bi1zgfsisou2,2024-04-11 15:19:46.524,62.38,27.62,74.09,67.05,7.0,15.0,23.5,44.9,optimal,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0p001izhes3fnbvuhd,cmmx6howt0000bi1zgfsisou2,2024-04-11 15:30:20.232,59.75,27.78,72.52,67.28,7.0,16.5,22.6,46.5,optimal,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0p001jzhestgdx5dy9,cmmx6howt0000bi1zgfsisou2,2024-04-11 15:40:53.940,60.54,27.78,73.2,63.89,7.0,16.5,23.7,49.4,optimal,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0p001kzhesq6o3la8g,cmmx6howt0000bi1zgfsisou2,2024-04-11 15:51:27.648,58.28,27.81,72.92,61.7,7.0,17.2,23.2,46.5,optimal,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0p001lzhesh5tkix9w,cmmx6howt0000bi1zgfsisou2,2024-04-11 16:02:01.356,57.28,27.84,71.9,66.45,7.0,18.0,25.8,50.5,optimal,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0q001mzhes29z78ece,cmmx6howt0000bi1zgfsisou2,2024-04-11 16:12:35.064,58.26,27.97,72.75,64.46,7.0,16.6,24.9,48.2,optimal,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0q001nzheskeiqccd5,cmmx6howt0000bi1zgfsisou2,2024-04-11 16:23:08.772,55.22,28.08,71.57,61.96,7.0,17.2,26.1,52.2,optimal,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0q001ozhes1ghea6os,cmmx6howt0000bi1zgfsisou2,2024-04-11 16:33:42.480,54.6,27.97,71.19,60.46,7.0,19.3,24.2,50.9,optimal,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0q001pzhes8joshfvv,cmmx6howt0000bi1zgfsisou2,2024-04-11 16:44:16.188,54.81,28.19,71.76,63.83,7.0,20.1,26.5,50.3,optimal,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0q001qzhes61mt3ash,cmmx6howt0000bi1zgfsisou2,2024-04-11 16:54:49.896,53.7,28.01,71.56,64.01,7.0,18.1,27.6,53.2,optimal,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0q001rzhesjkp8dakq,cmmx6howt0000bi1zgfsisou2,2024-04-11 17:05:23.604,51.64,28.05,70.71,64.65,7.0,20.5,24.0,48.8,optimal,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0q001szhesxf8h2atg,cmmx6howt0000bi1zgfsisou2,2024-04-11 17:15:57.312,51.75,28.32,71.48,61.46,7.0,20.6,26.2,51.8,optimal,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0q001tzhesq1zyycnz,cmmx6howt0000bi1zgfsisou2,2024-04-11 17:26:31.020,49.53,28.16,71.13,63.53,7.0,20.2,26.1,56.0,optimal,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0q001uzhesvsemt35i,cmmx6howt0000bi1zgfsisou2,2024-04-11 17:37:04.728,50.55,28.3,71.14,65.32,7.0,20.5,27.2,51.8,optimal,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0q001vzhes7qglp3g6,cmmx6howt0000bi1zgfsisou2,2024-04-11 17:47:38.436,48.21,28.3,71.04,63.3,7.0,22.0,25.1,55.6,optimal,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0q001wzhes486mzh3o,cmmx6howt0000bi1zgfsisou2,2024-04-11 17:58:12.144,48.14,28.3,70.79,62.18,7.0,20.3,25.9,56.1,optimal,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0q001xzhes3b7zgs3g,cmmx6howt0000bi1zgfsisou2,2024-04-11 18:08:45.852,46.21,28.13,70.79,56.65,7.0,21.2,28.7,58.1,optimal,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0q001yzhesmmqpv2vu,cmmx6howt0000bi1zgfsisou2,2024-04-11 18:19:19.560,47.44,28.29,72.28,60.06,7.0,20.8,26.6,54.0,optimal,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0q001zzhesh8z9lig6,cmmx6howt0000bi1zgfsisou2,2024-04-11 18:29:53.268,46.52,28.1,71.99,60.66,7.0,22.0,29.5,54.4,optimal,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0q0020zhesif1irqj2,cmmx6howt0000bi1zgfsisou2,2024-04-11 18:40:26.976,45.04,28.17,72.03,59.86,7.0,22.9,28.5,60.3,optimal,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0q0021zhesgmsy5cnv,cmmx6howt0000bi1zgfsisou2,2024-04-11 18:51:00.684,43.77,28.14,70.76,57.98,7.0,24.3,30.0,59.9,optimal,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0q0022zheslaes3hhd,cmmx6howt0000bi1zgfsisou2,2024-04-11 19:01:34.392,41.93,28.14,71.37,61.95,7.0,25.1,27.9,58.8,optimal,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0q0023zhes9gj9onw3,cmmx6howt0000bi1zgfsisou2,2024-04-11 19:12:08.100,42.07,27.96,72.86,60.06,7.0,23.3,27.2,57.6,optimal,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0q0024zhesgvsmsbsr,cmmx6howt0000bi1zgfsisou2,2024-04-11 19:22:41.808,41.11,28.15,72.41,57.26,7.0,25.6,29.8,61.1,optimal,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0q0025zhesoh72uc4f,cmmx6howt0000bi1zgfsisou2,2024-04-11 19:33:15.516,39.08,28.12,71.76,56.83,7.0,23.9,31.3,62.9,low,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0q0026zhesp1nh8ygx,cmmx6howt0000bi1zgfsisou2,2024-04-11 19:43:49.224,38.61,28.05,72.95,59.04,7.0,24.7,31.4,60.6,low,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0q0027zhese6bds9je,cmmx6howt0000bi1zgfsisou2,2024-04-11 19:54:22.932,37.82,27.98,71.97,59.13,7.0,25.1,28.8,61.0,low,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0q0028zhesvihcwcpv,cmmx6howt0000bi1zgfsisou2,2024-04-11 20:04:56.640,37.75,27.85,72.78,59.22,7.0,24.5,30.2,61.2,low,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0q0029zhes5uqnubae,cmmx6howt0000bi1zgfsisou2,2024-04-11 20:15:30.348,36.4,27.78,72.62,56.17,7.0,25.8,29.9,60.5,low,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0q002azhesprn9iu4a,cmmx6howt0000bi1zgfsisou2,2024-04-11 20:26:04.056,36.37,27.59,73.95,58.81,7.0,25.1,30.3,65.3,low,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0q002bzhesii1xjjr1,cmmx6howt0000bi1zgfsisou2,2024-04-11 20:36:37.764,38.07,27.53,73.08,56.02,7.0,27.1,30.5,63.8,low,optimal,optimal,optimal,high,optimal,optimal
cmnyxjq0q002czhessuxfils5,cmmx6howt0000bi1zgfsisou2,2024-04-11 20:47:11.472,40.81,27.69,73.89,55.36,7.0,26.2,31.2,63.8,optimal,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0q002dzhesa8yzkc3n,cmmx6howt0000bi1zgfsisou2,2024-04-11 20:57:45.180,45.01,27.63,73.14,56.62,7.0,26.2,32.9,66.8,optimal,optimal,optimal,optimal,optimal,optimal,optimal
cmnyxjq0q002ezhesp7k0g96z,cmmx6howt0000bi1zgfsisou2,2024-04-11 21:08:18.888,46.03,27.29,73.46,56.34,7.0,28.3,31.5,62.6,optimal,optimal,optimal,optimal,high,optimal,optimal
cmnyxjq0q002fzheso8fjmudc,cmmx6howt0000bi1zgfsisou2,2024-04-11 21:18:52.596,50.9,27.39,73.36,54.68,7.0,28.8,31.6,64.0,optimal,optimal,optimal,optimal,high,optimal,optimal
cmnyxjq0q002gzhes7ax0cfp1,cmmx6howt0000bi1zgfsisou2,2024-04-11 21:29:26.304,53.46,27.23,74.84,54.36,7.0,28.9,33.7,68.4,optimal,optimal,optimal,optimal,high,optimal,high
cmnyxjq0q002hzhesae7p8hs5,cmmx6howt0000bi1zgfsisou2,2024-04-11 21:40:00.012,56.16,27.07,74.11,57.77,7.0,29.3,31.4,67.5,optimal,optimal,optimal,optimal,high,optimal,high
cmnyxjq0q002izhesqhtlukxe,cmmx6howt0000bi1zgfsisou2,2024-04-11 21:50:33.720,57.22,27.09,75.59,56.98,7.0,30.1,33.2,66.4,optimal,optimal,high,optimal,high,optimal,optimal
cmnyxjq0q002jzhes34r40hbk,cmmx6howt0000bi1zgfsisou2,2024-04-11 22:01:07.428,59.97,26.83,74.71,58.03,7.0,29.8,32.6,68.7,optimal,optimal,optimal,optimal,high,optimal,high
cmnyxjq0q002kzhes4x7kkvl9,cmmx6howt0000bi1zgfsisou2,2024-04-11 22:11:41.136,64.42,26.88,75.28,54.28,7.0,29.2,31.8,68.3,optimal,optimal,high,optimal,high,optimal,high
cmnyxjq0q002lzheslmsnl9zj,cmmx6howt0000bi1zgfsisou2,2024-04-11 22:22:14.844,65.71,26.76,75.17,50.72,7.0,29.5,33.3,68.9,optimal,optimal,high,optimal,high,optimal,high
cmnyxjq0q002mzhesa8pvuifv,cmmx6howt0000bi1zgfsisou2,2024-04-11 22:32:48.552,69.11,26.58,77.12,53.42,7.0,30.5,30.8,66.3,optimal,optimal,high,optimal,high,optimal,optimal
cmnyxjq0q002nzhesdt44rfa7,cmmx6howt0000bi1zgfsisou2,2024-04-11 22:43:22.260,71.87,26.45,76.49,56.49,7.0,30.3,30.9,69.1,high,optimal,high,optimal,high,optimal,high
cmnyxjq0q002ozheshvj4l87h,cmmx6howt0000bi1zgfsisou2,2024-04-11 22:53:55.968,74.69,26.32,77.74,54.25,7.0,30.5,33.3,72.0,high,optimal,high,optimal,high,optimal,high
cmnyxjq0q002pzhesn6k1cy8k,cmmx6howt0000bi1zgfsisou2,2024-04-11 23:04:29.676,78.12,26.38,77.65,58.06,7.0,30.7,33.8,71.2,high,optimal,high,optimal,high,optimal,high
cmnyxjq0q002qzhesmdtos1lt,cmmx6howt0000bi1zgfsisou2,2024-04-11 23:15:03.384,79.04,26.14,78.82,54.91,7.0,29.3,33.1,66.8,high,optimal,high,optimal,high,optimal,optimal
cmnyxjq0q002rzhesvbkmfmal,cmmx6howt0000bi1zgfsisou2,2024-04-11 23:25:37.092,83.62,26.24,79.21,51.33,7.0,28.9,34.7,69.9,high,optimal,high,optimal,high,high,high
cmnyxjq0q002szhesa0ttrawb,cmmx6howt0000bi1zgfsisou2,2024-04-11 23:36:10.800,87.04,25.87,78.28,54.96,7.0,29.8,34.7,72.5,criticalHigh,optimal,high,optimal,high,high,high
cmnyxjq0q002tzhesqg8b86rh,cmmx6howt0000bi1zgfsisou2,2024-04-11 23:46:44.508,87.36,25.78,79.33,53.49,7.0,30.7,34.6,71.9,criticalHigh,optimal,high,optimal,high,high,high
cmnyxjq0q002uzhesckq0rrt0,cmmx6howt0000bi1zgfsisou2,2024-04-11 23:57:18.216,91.88,25.89,79.11,54.56,7.0,30.0,32.1,72.6,criticalHigh,optimal,high,optimal,high,optimal,high
cmnyxjq0q002vzhess4qjmlj9,cmmx6howt0000bi1zgfsisou2,2024-04-12 00:07:51.924,92.05,25.61,79.49,54.38,7.0,29.9,33.1,69.9,criticalHigh,optimal,high,optimal,high,optimal,high
cmnyxjq0q002wzhes1wbixocq,cmmx6howt0000bi1zgfsisou2,2024-04-12 00:18:25.632,90.69,25.65,80.76,49.36,7.0,30.6,33.6,68.0,criticalHigh,optimal,high,optimal,high,optimal,high
cmnyxjq0q002xzhesuf1a5vqc,cmmx6howt0000bi1zgfsisou2,2024-04-12 00:28:59.340,90.43,25.29,81.03,52.46,7.0,30.3,34.4,67.7,criticalHigh,optimal,high,optimal,high,high,high
cmnyxjq0q002yzhesi9i4bvlk,cmmx6howt0000bi1zgfsisou2,2024-04-12 00:39:33.048,87.32,25.44,81.47,53.7,7.0,31.4,33.1,70.0,criticalHigh,optimal,high,optimal,high,optimal,high
cmnyxjq0q002zzhes0byzpr2y,cmmx6howt0000bi1zgfsisou2,2024-04-12 00:50:06.756,87.5,25.24,81.64,50.46,7.0,29.5,33.5,71.8,criticalHigh,optimal,high,optimal,high,optimal,high
cmnyxjq0q0030zhesa9jwcu7h,cmmx6howt0000bi1zgfsisou2,2024-04-12 01:00:40.464,87.51,25.05,81.58,53.2,7.0,30.6,34.7,73.1,criticalHigh,optimal,high,optimal,high,high,high
cmnyxjq0q0031zhesysp9vont,cmmx6howt0000bi1zgfsisou2,2024-04-12 01:11:14.172,87.01,24.89,82.88,50.17,7.0,31.1,31.6,70.1,criticalHigh,optimal,high,optimal,high,optimal,high
cmnyxjq0q0032zheskkhvunap,cmmx6howt0000bi1zgfsisou2,2024-04-12 01:21:47.880,84.31,24.98,83.04,54.16,7.0,29.1,34.2,70.8,high,optimal,high,optimal,high,high,high
cmnyxjq0q0033zhesk1e15zao,cmmx6howt0000bi1zgfsisou2,2024-04-12 01:32:21.588,85.12,24.67,83.06,49.36,7.0,31.6,35.4,72.5,criticalHigh,optimal,high,optimal,high,high,high
cmnyxjq0q0034zhes8kh7wcjy,cmmx6howt0000bi1zgfsisou2,2024-04-12 01:42:55.296,81.45,24.5,82.65,51.46,7.0,29.3,34.2,68.2,high,optimal,high,optimal,high,high,high
cmnyxjq0q0035zhesiul4o4fk,cmmx6howt0000bi1zgfsisou2,2024-04-12 01:53:29.004,81.43,24.64,83.76,52.66,7.0,31.3,34.0,69.2,high,optimal,high,optimal,high,optimal,high
cmnyxjq0q0036zhes31by6su4,cmmx6howt0000bi1zgfsisou2,2024-04-12 02:04:02.712,80.95,24.57,82.63,50.11,7.0,30.1,31.4,68.9,high,optimal,high,optimal,high,optimal,high
cmnyxjq0q0037zhesjc606v4s,cmmx6howt0000bi1zgfsisou2,2024-04-12 02:14:36.420,81.0,24.2,84.84,48.02,7.0,28.5,32.2,69.8,high,optimal,high,optimal,high,optimal,high
cmnyxjq0q0038zhes8gugy89p,cmmx6howt0000bi1zgfsisou2,2024-04-12 02:25:10.128,80.0,24.3,84.05,51.06,7.0,29.5,33.2,66.6,high,optimal,high,optimal,high,optimal,optimal
cmnyxjq0q0039zhesyvounlqe,cmmx6howt0000bi1zgfsisou2,2024-04-12 02:35:43.836,78.29,24.24,83.88,47.61,7.0,30.7,34.3,71.3,high,optimal,high,optimal,high,high,high
cmnyxjq0q003azhes4qz36uwm,cmmx6howt0000bi1zgfsisou2,2024-04-12 02:46:17.544,76.98,24.14,84.32,50.58,7.0,28.9,34.2,71.0,high,optimal,high,optimal,high,high,high
cmnyxjq0r003bzhesqgv4wwc6,cmmx6howt0000bi1zgfsisou2,2024-04-12 02:56:51.252,76.52,24.08,85.84,48.27,7.0,29.1,33.1,68.4,high,optimal,criticalHigh,optimal,high,optimal,high
cmnyxjq0r003czhes79hncf0x,cmmx6howt0000bi1zgfsisou2,2024-04-12 03:07:24.960,75.0,23.9,85.94,45.58,7.0,29.8,33.1,70.6,high,optimal,criticalHigh,optimal,high,optimal,high
